"QueryNum","K_ratio","iter","NoPrune Optimizer","Normal Optimizer","Greedy Optimizer"
"50","0.1","0","426","83","10"
"50","0.1","1","204","51","12"
"50","0.1","2","205","49","7"
"50","0.1","3","208","50","7"
"50","0.1","4","202","42","5"
"50","0.1","5","182","39","5"
"50","0.1","6","178","42","4"
"50","0.1","7","188","44","4"
"50","0.1","8","184","44","4"
"50","0.1","9","178","40","4"
"50","0.1","10","181","41","4"
"50","0.1","11","182","44","4"
"50","0.1","12","182","39","4"
"50","0.1","13","182","39","4"
"50","0.1","14","172","39","4"
"50","0.1","15","177","40","3"
"50","0.2","0","89","23","4"
"50","0.2","1","90","20","3"
"50","0.2","2","87","20","3"
"50","0.2","3","87","21","4"
"50","0.2","4","88","21","3"
"50","0.2","5","85","20","3"
"50","0.2","6","92","21","3"
"50","0.2","7","85","20","3"
"50","0.2","8","84","21","3"
"50","0.2","9","87","20","3"
"50","0.2","10","85","20","3"
"50","0.2","11","86","22","3"
"50","0.2","12","87","20","3"
"50","0.2","13","88","20","3"
"50","0.2","14","88","20","3"
"50","0.2","15","88","21","3"
"50","0.30000000000000004","0","53","13","2"
"50","0.30000000000000004","1","52","13","3"
"50","0.30000000000000004","2","56","19","6"
"50","0.30000000000000004","3","71","18","3"
"50","0.30000000000000004","4","55","14","3"
"50","0.30000000000000004","5","60","15","3"
"50","0.30000000000000004","6","60","20","3"
"50","0.30000000000000004","7","54","13","2"
"50","0.30000000000000004","8","53","13","3"
"50","0.30000000000000004","9","55","16","3"
"50","0.30000000000000004","10","57","15","3"
"50","0.30000000000000004","11","58","13","2"
"50","0.30000000000000004","12","54","13","3"
"50","0.30000000000000004","13","53","12","3"
"50","0.30000000000000004","14","54","13","3"
"50","0.30000000000000004","15","56","15","3"
"50","0.4","0","52","10","3"
"50","0.4","1","49","10","5"
"50","0.4","2","49","9","3"
"50","0.4","3","53","11","2"
"50","0.4","4","53","10","2"
"50","0.4","5","48","10","2"
"50","0.4","6","48","9","2"
"50","0.4","7","48","9","2"
"50","0.4","8","50","10","3"
"50","0.4","9","54","10","2"
"50","0.4","10","50","10","4"
"50","0.4","11","47","9","3"
"50","0.4","12","49","10","3"
"50","0.4","13","51","11","2"
"50","0.4","14","53","10","2"
"50","0.4","15","49","10","2"
"50","0.5","0","76","9","2"
"50","0.5","1","80","10","2"
"50","0.5","2","78","8","3"
"50","0.5","3","73","8","2"
"50","0.5","4","76","10","2"
"50","0.5","5","79","9","2"
"50","0.5","6","75","9","2"
"50","0.5","7","76","9","3"
"50","0.5","8","82","10","2"
"50","0.5","9","77","9","2"
"50","0.5","10","75","9","2"
"50","0.5","11","80","9","3"
"50","0.5","12","84","10","2"
"50","0.5","13","78","10","2"
"50","0.5","14","77","10","2"
"50","0.5","15","78","8","5"
"50","0.6","0","155","10","3"
"50","0.6","1","164","11","2"
"50","0.6","2","161","11","2"
"50","0.6","3","162","9","3"
"50","0.6","4","159","10","3"
"50","0.6","5","159","11","3"
"50","0.6","6","157","10","2"
"50","0.6","7","165","10","2"
"50","0.6","8","157","10","2"
"50","0.6","9","164","11","3"
"50","0.6","10","163","10","2"
"50","0.6","11","165","10","2"
"50","0.6","12","160","10","5"
"50","0.6","13","162","12","2"
"50","0.6","14","162","11","3"
"50","0.6","15","165","10","2"
