"QueryNum","K_percent","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"200","0.0","0","2243","45286560","573","11386548","125","46560"
"200","0.0","1","980","45286560","229","11386548","51","46560"
"200","0.0","2","888","45286560","195","11386548","23","46560"
"200","0.0","3","852","45286560","201","11386548","18","46560"
"200","0.0","4","841","45286560","198","11386548","15","46560"
"200","0.0","5","848","45286560","217","11386548","17","46560"
"200","0.0","6","844","45286560","192","11386548","20","46560"
"200","0.0","7","844","45286560","182","11386548","13","46560"
"200","0.0","8","831","45286560","183","11386548","14","46560"
"200","0.0","9","834","45286560","176","11386548","15","46560"
"180","0.0","0","711","40757904","158","10247676","23","41904"
"180","0.0","1","687","40757904","150","10247676","12","41904"
"180","0.0","2","695","40757904","154","10247676","13","41904"
"180","0.0","3","684","40757904","160","10247676","14","41904"
"180","0.0","4","704","40757904","141","10247676","11","41904"
"180","0.0","5","692","40757904","198","10247676","12","41904"
"180","0.0","6","723","40757904","152","10247676","14","41904"
"180","0.0","7","719","40757904","146","10247676","11","41904"
"180","0.0","8","692","40757904","143","10247676","11","41904"
"180","0.0","9","675","40757904","143","10247676","12","41904"
"160","0.0","0","621","36229248","135","9108804","11","37248"
"160","0.0","1","629","36229248","137","9108804","10","37248"
"160","0.0","2","634","36229248","128","9108804","10","37248"
"160","0.0","3","635","36229248","133","9108804","10","37248"
"160","0.0","4","628","36229248","136","9108804","10","37248"
"160","0.0","5","624","36229248","137","9108804","10","37248"
"160","0.0","6","630","36229248","138","9108804","9","37248"
"160","0.0","7","630","36229248","135","9108804","10","37248"
"160","0.0","8","618","36229248","136","9108804","11","37248"
"160","0.0","9","628","36229248","133","9108804","9","37248"
"140","0.0","0","538","31700592","112","7969932","9","32592"
"140","0.0","1","550","31700592","115","7969932","10","32592"
"140","0.0","2","548","31700592","118","7969932","10","32592"
"140","0.0","3","544","31700592","116","7969932","9","32592"
"140","0.0","4","534","31700592","115","7969932","8","32592"
"140","0.0","5","541","31700592","120","7969932","13","32592"
"140","0.0","6","560","31700592","142","7969932","12","32592"
"140","0.0","7","551","31700592","116","7969932","9","32592"
"140","0.0","8","541","31700592","111","7969932","8","32592"
"140","0.0","9","542","31700592","116","7969932","9","32592"
"120","0.0","0","473","27171936","105","6831060","8","27936"
"120","0.0","1","468","27171936","97","6831060","8","27936"
"120","0.0","2","478","27171936","98","6831060","8","27936"
"120","0.0","3","469","27171936","103","6831060","8","27936"
"120","0.0","4","475","27171936","103","6831060","10","27936"
"120","0.0","5","465","27171936","102","6831060","8","27936"
"120","0.0","6","468","27171936","95","6831060","7","27936"
"120","0.0","7","499","27171936","99","6831060","9","27936"
"120","0.0","8","473","27171936","103","6831060","7","27936"
"120","0.0","9","468","27171936","103","6831060","8","27936"
"100","0.0","0","403","22643280","81","5692188","5","23280"
"100","0.0","1","401","22643280","80","5692188","6","23280"
"100","0.0","2","400","22643280","91","5692188","6","23280"
"100","0.0","3","397","22643280","89","5692188","7","23280"
"100","0.0","4","398","22643280","83","5692188","6","23280"
"100","0.0","5","403","22643280","81","5692188","6","23280"
"100","0.0","6","424","22643280","89","5692188","6","23280"
"100","0.0","7","396","22643280","88","5692188","6","23280"
"100","0.0","8","396","22643280","82","5692188","6","23280"
"100","0.0","9","404","22643280","81","5692188","6","23280"
"80","0.0","0","316","18114624","67","4553316","6","18624"
"80","0.0","1","316","18114624","70","4553316","5","18624"
"80","0.0","2","316","18114624","67","4553316","6","18624"
"80","0.0","3","315","18114624","69","4553316","5","18624"
"80","0.0","4","333","18114624","74","4553316","6","18624"
"80","0.0","5","335","18114624","71","4553316","5","18624"
"80","0.0","6","318","18114624","65","4553316","5","18624"
"80","0.0","7","319","18114624","70","4553316","5","18624"
"80","0.0","8","316","18114624","64","4553316","6","18624"
"80","0.0","9","321","18114624","67","4553316","5","18624"
"60","0.0","0","233","13585968","47","3414444","3","13968"
"60","0.0","1","228","13585968","54","3414444","4","13968"
"60","0.0","2","230","13585968","54","3414444","4","13968"
"60","0.0","3","229","13585968","52","3414444","5","13968"
"60","0.0","4","230","13585968","48","3414444","3","13968"
"60","0.0","5","236","13585968","48","3414444","3","13968"
"60","0.0","6","236","13585968","47","3414444","3","13968"
"60","0.0","7","234","13585968","52","3414444","4","13968"
"60","0.0","8","236","13585968","48","3414444","4","13968"
"60","0.0","9","234","13585968","49","3414444","4","13968"
"40","0.0","0","155","9057312","32","2275572","3","9312"
"40","0.0","1","154","9057312","32","2275572","3","9312"
"40","0.0","2","152","9057312","38","2275572","2","9312"
"40","0.0","3","157","9057312","32","2275572","3","9312"
"40","0.0","4","157","9057312","32","2275572","3","9312"
"40","0.0","5","156","9057312","33","2275572","2","9312"
"40","0.0","6","156","9057312","34","2275572","3","9312"
"40","0.0","7","156","9057312","32","2275572","3","9312"
"40","0.0","8","156","9057312","32","2275572","3","9312"
"40","0.0","9","155","9057312","32","2275572","3","9312"
"20","0.0","0","88","4528656","17","1136700","1","4656"
"20","0.0","1","85","4528656","20","1136700","2","4656"
"20","0.0","2","81","4528656","18","1136700","1","4656"
"20","0.0","3","88","4528656","18","1136700","1","4656"
"20","0.0","4","85","4528656","19","1136700","1","4656"
"20","0.0","5","81","4528656","23","1136700","2","4656"
"20","0.0","6","81","4528656","18","1136700","1","4656"
"20","0.0","7","86","4528656","17","1136700","2","4656"
"20","0.0","8","81","4528656","25","1136700","2","4656"
"20","0.0","9","80","4528656","17","1136700","2","4656"
